Table 4：领券后15天内使用预测结果,,,
用户ID,优惠券ID,领取优惠券日期,领券后15天内使用预测
3873541,2978,20160718,0.040803123
4603402,5482,20160723,0.099175146
6443530,13602,20160722,0.05726912
3627781,10418,20160713,0.016527377
4913674,8059,20160712,0.083655441
3506437,13602,20160719,0.062626146
2196229,6614,20160717,0.089146297
2329861,13849,20160724,0.172135153
3514117,9967,20160706,0.036669205
5733898,13183,20160705,0.395993012
2480389,2978,20160703,0.032077132
3928837,1904,20160722,0.037352931
3017989,13602,20160730,0.024750777
3017989,9983,20160704,0.02357387
5776906,13602,20160706,0.04930722
6332938,13602,20160724,0.045914514
5568010,8596,20160722,0.039539362
5568010,8596,20160722,0.039539362
2398981,13602,20160722,0.030123974
3208453,10418,20160713,0.008865444
7205386,13602,20160729,0.030232887
4866574,13602,20160723,0.040967498
4866574,9983,20160725,0.013745157
5394958,2601,20160712,0.023458436
6445582,13602,20160713,0.040903229
3748615,13602,20160709,0.051348037
3748615,11184,20160703,0.032074571
5941774,9983,20160711,0.01709065
2842375,3429,20160725,0.103895183
2324743,10418,20160701,0.016527377
6491662,4654,20160717,0.113701062
3644167,11463,20160710,0.100752704
3644167,11463,20160706,0.100752704
3644167,11463,20160708,0.100752704
3644167,11463,20160711,0.100752704
3644167,11463,20160713,0.100752704
2862343,3004,20160712,0.045321267
2862343,2070,20160721,0.045321267
2862343,7821,20160721,0.034655236
2862343,14,20160731,0.153765403
4676110,9983,20160727,0.007743144
3135751,3992,20160724,0.018566124
4054279,9983,20160729,0.018872814
4192519,13602,20160723,0.024981402
2363143,3780,20160703,0.034581578
2363143,13161,20160703,0.033376858
2363143,2978,20160724,0.0339973
2363143,10438,20160729,0.034581578
3025159,9983,20160703,0.02357387
3025159,10438,20160701,0.033773996
3025159,13602,20160725,0.030123974
6574606,8059,20160729,0.071827741
2771719,13602,20160728,0.030123974
2513671,9983,20160723,0.021470316
7136782,13602,20160714,0.072837902
3568903,8596,20160722,0.027858353
5047822,13602,20160722,0.040903229
3704071,10110,20160716,0.36408862
3704071,10110,20160707,0.36408862
3183367,4132,20160723,0.035839119
4276750,13602,20160726,0.040967498
6402574,9983,20160704,0.023611581
6402574,10418,20160706,0.019908019
6408718,13602,20160724,0.04298753
4587022,8059,20160717,0.118707791
4587022,9983,20160717,0.027021714
3212041,13602,20160715,0.040967498
5903890,13602,20160724,0.041342822
4598290,1904,20160709,0.048086752
3093769,8306,20160728,0.068602139
3093769,8059,20160728,0.083167298
3093769,9983,20160716,0.018697502
3093769,8306,20160728,0.068602139
4370962,8059,20160722,0.083167298
6208018,2920,20160729,0.103373028
2189065,2096,20160715,0.048248833
4029193,13602,20160703,0.040967498
3119881,493,20160721,0.054880252
3910921,9983,20160712,0.008559489
3910921,13602,20160711,0.040903229
6773266,2096,20160717,0.075675649
4948498,2978,20160725,0.039128862
2347273,13602,20160725,0.040903229
4190473,10284,20160720,0.068420192
3536137,13602,20160728,0.222396096
2358025,13602,20160703,0.017254426
3930889,10438,20160729,0.028919797
3930889,13602,20160704,0.017187691
3930889,2893,20160724,0.063390743
3930889,2893,20160726,0.063390743
4066057,5702,20160716,0.037369922
4066057,13602,20160724,0.051100413
4066057,5702,20160723,0.037369922
4066057,5702,20160709,0.037369922
4070665,10418,20160715,0.019908019
3024649,3992,20160709,0.034252053
6862354,13602,20160731,0.051113399
6078994,10438,20160716,0.033773996
3310345,10438,20160731,0.041304479
6112786,13602,20160714,0.030123974
2930953,2978,20160724,0.032373756
6939154,10418,20160727,0.012142713
6939154,2978,20160727,0.032077132
3208969,3985,20160724,0.218968644
3208969,11876,20160724,0.152736009
2296075,13602,20160728,0.017838202
2173195,2601,20160703,0.016084605
5948950,10418,20160720,0.017533583
2723083,4277,20160724,0.034436329
4177675,9983,20160721,0.053685583
4177675,13602,20160719,0.027439649
6790678,13602,20160723,0.030403104
3531019,8059,20160717,0.062240567
7343638,8059,20160704,0.096048129
3021067,13320,20160722,0.093868028
2773771,4727,20160725,0.365072138
4286998,13602,20160711,0.051348037
6385174,9983,20160712,0.007730577
2933515,9983,20160703,0.02357387
2933515,13602,20160702,0.017093885
6925846,13602,20160714,0.033813563
6925846,9983,20160721,0.008702028
5617174,5785,20160725,0.075675649
6667798,9983,20160710,0.016350675
6667798,8499,20160725,0.27284423
6667798,13602,20160704,0.234114003
5887510,3093,20160704,0.062122322
5887510,8215,20160704,0.037186615
5887510,9002,20160704,0.036852353
3469579,2978,20160711,0.032077132
5368342,13602,20160727,0.256392648
6157846,13602,20160722,0.017093885
6427162,1904,20160708,0.033781388
6427162,11894,20160708,0.033781388
7228954,9983,20160714,0.02357387
6728218,3992,20160707,0.041268854
6992410,1971,20160706,0.156386699
6992410,1971,20160701,0.156386699
6992410,1971,20160708,0.156386699
6992410,1971,20160705,0.156386699
6992410,1971,20160711,0.156386699
3909901,9983,20160726,0.012441945
6783514,13602,20160729,0.030702437
6783514,9983,20160731,0.031349772
6783514,12154,20160729,0.257627359
4694554,10418,20160711,0.012142713
4694554,13602,20160721,0.017093885
4694554,2978,20160710,0.023666436
4694554,10438,20160703,0.034581578
5238298,11799,20160729,0.012059672
2886925,2978,20160722,0.131259842
2891533,13602,20160731,0.030451398
2635021,1808,20160730,0.01066417
2635021,6928,20160730,0.010922822
5275162,2601,20160707,0.020541279
2247949,13602,20160707,0.017121411
2247949,1589,20160710,0.16587437
2247949,1589,20160721,0.16587437
2247949,9983,20160730,0.010990381
6335002,9793,20160714,0.271755927
6599194,3429,20160710,0.074004563
6608410,8012,20160721,0.051942811
3048205,10438,20160712,0.033773996
3048205,10418,20160701,0.012142713
3837709,9983,20160720,0.009734208
2800909,13602,20160727,0.030123974
5880346,13602,20160721,0.017093885
5880346,8901,20160703,0.028119583
6153754,8059,20160724,0.062240567
5393950,13602,20160720,0.04127799
6976030,9718,20160702,0.173267842
2846479,10438,20160711,0.034581578
6223390,9983,20160710,0.01377344
3639055,9983,20160701,0.013569175
2872591,13602,20160713,0.040903229
3531535,8059,20160702,0.075409383
3531535,10418,20160704,0.019908019
3531535,9983,20160702,0.012462075
3531535,3429,20160704,0.073735621
5510686,8059,20160712,0.070078089
5510686,3429,20160704,0.112004592
3937039,10990,20160710,0.211576729
6039070,8059,20160715,0.09363346
6039070,13803,20160707,0.050419214
6039070,9983,20160726,0.018872814
6039070,13602,20160726,0.030512995
6039070,3429,20160716,0.07265975
3675919,2601,20160708,0.019886612
4472350,9983,20160728,0.012559354
2107663,13602,20160728,0.040967498
2370319,12429,20160723,0.074585214
2370319,10418,20160711,0.008865444
2765071,2978,20160721,0.040766401
2765071,13602,20160714,0.021696221
3557647,13602,20160704,0.017156521
3557647,10438,20160712,0.028867976
2772751,13602,20160713,0.030451398
2772751,9983,20160714,0.008654615
3428623,10438,20160706,0.028500061
3428623,10418,20160704,0.016501509
3428623,3429,20160705,0.116406987
3428623,13602,20160724,0.024392348
3428623,2978,20160724,0.034311051
3298063,2978,20160731,0.023666436
3298063,10438,20160721,0.033773996
6893086,13602,20160727,0.040903229
2817295,13602,20160720,0.044400232
2953489,9983,20160704,0.011241315
5180962,13602,20160723,0.040903229
3647761,9983,20160724,0.01866749
4938274,3594,20160703,0.038334592
3913489,13602,20160704,0.040903229
3133201,13602,20160711,0.040903229
3019537,13602,20160703,0.030123974
6308386,13602,20160706,0.024392348
6308386,10438,20160706,0.040866339
2369809,13602,20160723,0.017121411
2764561,10418,20160704,0.02347153
2764561,13602,20160712,0.024005976
2764561,10438,20160710,0.047335362
2764561,2978,20160703,0.195650269
7128610,9983,20160716,0.010972602
2127121,13602,20160723,0.036950595
2266897,2978,20160707,0.038513888
2266897,13602,20160703,0.051348037
2266897,3429,20160706,0.118458061
2266897,6749,20160726,0.068619984
3845905,5743,20160724,0.108065949
6913570,5840,20160723,0.004966159
3326737,2978,20160721,0.032077132
2680081,13602,20160704,0.266135537
2680081,8780,20160717,0.123950751
2680081,8780,20160722,0.123950751
5371426,13602,20160706,0.040903229
2819347,13602,20160728,0.030123974
4144915,13602,20160717,0.030123974
4144915,11799,20160717,0.017014829
3624211,11512,20160724,0.048318415
3624211,11512,20160715,0.048318415
3628819,12559,20160721,0.223556031
3628819,13602,20160703,0.051813324
2843923,13602,20160710,0.318969701
3636499,10418,20160711,0.010612135
2588947,2623,20160702,0.09079456
3383059,1904,20160718,0.033781388
2870035,10418,20160701,0.010897294
2870035,2978,20160701,0.02179172
2870035,10438,20160724,0.028609108
2870035,13602,20160711,0.017349098
6037030,13602,20160714,0.024750777
2635027,807,20160716,0.108897172
3301651,2601,20160726,0.028304957
4540966,10418,20160706,0.019876968
5327398,13602,20160726,0.131354652
2800915,10418,20160705,0.008900054
2146579,4811,20160702,0.174816808
2146579,8137,20160701,0.315717682
2146579,8137,20160702,0.315717682
2146579,8137,20160703,0.315717682
2146579,4811,20160709,0.174816808
6921766,13602,20160705,0.041219089
3854611,13602,20160729,0.040903229
3470611,11146,20160706,0.22173987
3470611,11146,20160710,0.22173987
3482389,8181,20160707,0.049580222
3877141,13602,20160706,0.087141238
4349482,8059,20160701,0.073721158
4349482,3429,20160726,0.061082757
2964757,7419,20160709,0.062931985
4884010,13506,20160719,0.13178299
4884010,13506,20160719,0.13178299
4884010,13506,20160718,0.13178299
4884010,12455,20160714,0.066011539
4622890,6648,20160730,0.172693172
4622890,4785,20160727,0.172693172
2445589,2002,20160703,0.029999452
2445589,8059,20160720,0.073721158
2445589,13602,20160726,0.040903229
2445589,9983,20160730,0.007730577
6208042,9983,20160714,0.008559489
6208042,8059,20160716,0.062240567
6208042,3429,20160717,0.061082757
6208042,13602,20160719,0.017093885
6994474,13602,20160713,0.017187691
6994474,2978,20160710,0.023714644
6472234,8059,20160713,0.075683931
2456341,5933,20160717,0.20905599
2456341,1904,20160724,0.051688504
2456341,5933,20160723,0.20905599
3505429,10438,20160711,0.037574678
2723605,8059,20160703,0.097389466
7286314,9983,20160707,0.02357387
4668970,13602,20160725,0.024750777
3133717,3780,20160709,0.040866339
3133717,3743,20160710,0.068094997
3133717,10438,20160712,0.040866339
3791125,2911,20160713,0.023724483
4966954,785,20160729,0.407613555
5492266,7501,20160713,0.016698456
3809557,13602,20160724,0.017093885
2762005,9599,20160726,0.087102866
4075285,11986,20160721,0.062728065
4075285,5215,20160721,0.089190867
2373397,13602,20160702,0.030451398
2373397,6911,20160721,0.048812548
3557653,13602,20160725,0.030123974
4090645,5488,20160719,0.134613658
4090645,3992,20160722,0.118076085
3566869,5562,20160709,0.195524062
5824042,4061,20160712,0.150428664
4776490,13602,20160719,0.017121411
5581354,13602,20160718,0.041219089
3447061,13602,20160703,0.04930722
6917674,8059,20160713,0.075409383
4119829,13602,20160726,0.051348037
2819863,4924,20160719,0.057444825
2300695,11799,20160725,0.012059672
4140823,2601,20160730,0.016084605
2442007,2149,20160701,0.074040302
2442007,2149,20160710,0.074040302
2442007,13624,20160701,0.038237103
2442007,7471,20160701,0.074040302
2442007,384,20160701,0.074040302
4898350,13602,20160720,0.030403104
3239191,10418,20160704,0.021486758
3239191,13602,20160724,0.044161955
3239191,9983,20160725,0.009302471
3110167,3429,20160702,0.072339505
3111703,13602,20160726,0.040967498
3899671,13602,20160723,0.017093885
4391470,3992,20160702,0.025387381
2878231,3992,20160704,0.041268854
2749207,8059,20160701,0.08184728
5761582,13602,20160704,0.041342822
2621719,9983,20160726,0.007816564
2621719,13602,20160723,0.041342822
3147031,3992,20160729,0.045528905
7346734,9977,20160713,0.231370251
7346734,4405,20160701,0.041272623
7346734,3429,20160711,0.072345327
7346734,9183,20160713,0.18706029
7346734,8059,20160711,0.073990052
7346734,10210,20160719,0.188268855
7346734,11270,20160712,0.18706029
4213294,13602,20160715,0.044169476
2369815,3611,20160702,0.164363164
6053422,9983,20160714,0.013722982
2240791,613,20160723,0.038882097
2240791,8866,20160731,0.0402585
2240791,8866,20160722,0.0402585
2240791,1540,20160731,0.054073898
3558679,8239,20160706,0.162656067
6594094,4700,20160707,0.157401904
3174679,8499,20160723,0.233294396
3053335,10438,20160702,0.028809602
3053335,13602,20160721,0.030123974
3844375,2978,20160726,0.038513888
5595694,2978,20160703,0.066696645
6646318,10418,20160705,0.019908019
6938158,785,20160725,0.076587044
7208494,2978,20160729,0.032077132
4132633,2978,20160728,0.032077132
4132633,13602,20160721,0.017121411
4362802,10438,20160719,0.028809602
5158450,13602,20160709,0.024750777
2186521,13602,20160718,0.030123974
5683762,3429,20160706,0.113956814
5683762,2978,20160706,0.039128862
5425714,13602,20160715,0.040903229
6215218,13602,20160715,0.040967498
3240217,9983,20160714,0.007730577
6227506,3429,20160704,0.072081946
6227506,8059,20160704,0.073721158
2724121,13602,20160719,0.064507213
2601241,13602,20160725,0.040903229
5729842,13602,20160716,0.024392348
3522841,13602,20160727,0.017093885
2737945,10438,20160722,0.040377987
3277081,9983,20160723,0.015184598
7084594,13602,20160718,0.040967498
5250610,9016,20160714,0.132710596
5250610,9016,20160719,0.132710596
5250610,9016,20160711,0.132710596
6313522,1904,20160723,0.057545083
3433753,9983,20160718,0.008403702
3433753,13602,20160712,0.044169476
2648857,7083,20160726,0.343784685
2648857,11184,20160701,0.016333317
2389273,9967,20160719,0.027222393
2389273,13602,20160727,0.024790323
2389273,6653,20160719,0.027222393
2129689,13602,20160725,0.030171839
5852722,13602,20160714,0.017093885
2926873,9559,20160722,0.048785141
5877298,2978,20160729,0.050575608
3988249,9983,20160721,0.02357387
3345691,10418,20160718,0.016527377
5928502,13602,20160728,0.040903229
2837275,9983,20160714,0.02357387
2837275,13602,20160728,0.051348037
2445595,10418,20160714,0.016527377
5691958,13320,20160728,0.323044402
6232630,8975,20160723,0.188493129
5203510,4277,20160702,0.021847537
5203510,8059,20160705,0.08300851
4181275,10438,20160720,0.028809602
4181275,13602,20160715,0.017093885
4450870,10418,20160718,0.012885473
4979254,13602,20160703,0.051348037
5781046,8912,20160713,0.055991324
2510107,9983,20160726,0.018697502
3691291,8426,20160719,0.104590237
2659099,13602,20160725,0.04127799
2659099,9983,20160721,0.012559354
2815771,9983,20160725,0.011207997
5633590,10418,20160710,0.012142713
5905978,9983,20160713,0.02357387
5905978,13602,20160713,0.051348037
2445085,2978,20160716,0.023666436
2445085,10418,20160707,0.012142713
3495709,13602,20160730,0.024205662
5432890,2002,20160718,0.08085975
3635485,13602,20160724,0.114914264
3113245,9983,20160714,0.026886779
7036474,4649,20160711,0.286241096
2475805,8059,20160715,0.08184728
3004189,5471,20160710,0.089627234
3004189,2911,20160727,0.031770549
7067194,2978,20160719,0.032373756
7067194,10418,20160719,0.017506169
2486557,13602,20160712,0.114914264
5767738,11200,20160703,0.04805524
5767738,2002,20160712,0.036828603
5767738,8059,20160717,0.074489404
5254714,12630,20160709,0.38994127
4735546,1699,20160702,0.033799943
6572602,13602,20160723,0.040903229
6578746,8059,20160711,0.095494686
2504989,785,20160731,0.209149637
5540410,1904,20160721,0.037352931
6852154,2978,20160722,0.034371284
3429661,1967,20160707,0.057743302
3563293,13602,20160723,0.029660625
3563293,9983,20160711,0.018232265
4508218,5933,20160729,0.097389466
2127133,13602,20160720,0.032207993
2127133,11986,20160721,0.05167914
2127133,9983,20160724,0.014339599
6879802,12913,20160705,0.379241531
6879802,12913,20160707,0.379241531
6385210,13602,20160715,0.030171839
2936605,10418,20160705,0.019908019
4827706,11576,20160711,0.166484387
4827706,8059,20160702,0.062240567
3987229,13602,20160724,0.040903229
3987229,9983,20160717,0.011241315
6974014,9983,20160711,0.008654615
3625759,13602,20160724,0.040967498
3891487,13602,20160712,0.041342822
4161823,785,20160726,0.101843117
7020094,13602,20160711,0.051348037
7020094,3992,20160731,0.041268854
5453374,13602,20160729,0.040903229
3120415,5840,20160729,0.009624082
5195326,10438,20160711,0.036722399
6771262,9983,20160726,0.01866749
4691518,6574,20160719,0.037207487
5484094,8,20160707,0.040014822
3270943,8059,20160710,0.062240567
3536671,10418,20160712,0.010612135
2762527,10438,20160730,0.040377987
2896159,13602,20160725,0.114914264
2896159,9983,20160703,0.013745157
2112799,2978,20160717,0.032077132
3166495,13602,20160728,0.030123974
3166495,9983,20160721,0.010972602
5548606,3429,20160703,0.102290516
5548606,9983,20160712,0.013903237
2648863,1904,20160720,0.048086752
2648863,11894,20160720,0.048086752
2648863,11894,20160725,0.048086752
4513342,9063,20160725,0.352184163
4513342,3777,20160725,0.122514573
4513342,864,20160721,0.203127249
3046687,9983,20160714,0.020644714
2129695,13602,20160711,0.024750777
2138911,8306,20160727,0.050954333
2138911,9983,20160728,0.01866749
2138911,8059,20160728,0.075409383
2138911,13602,20160725,0.024750777
3194143,13602,20160716,0.017121411
3194143,8059,20160712,0.094944617
3194143,9983,20160712,0.007743144
5100094,11799,20160727,0.012173519
3341599,13602,20160706,0.030512995
4853314,13602,20160727,0.030403104
4853314,9983,20160711,0.007803878
4853314,8059,20160728,0.061350429
5378626,8224,20160721,0.071889791
2563873,13602,20160706,0.034367029
4142881,9983,20160728,0.007730577
6201922,13602,20160704,0.041342822
3907873,13602,20160704,0.040903229
2597665,9983,20160706,0.03400323
5986882,8499,20160730,0.159228348
2993953,2601,20160720,0.020180202
2993953,13602,20160729,0.040903229
7301698,2978,20160722,0.032373756
4429378,4405,20160716,0.041516849
2218273,9983,20160727,0.01866749
2218273,13602,20160724,0.030123974
6272578,9983,20160728,0.013745157
3671329,3429,20160726,0.061082757
3671329,8059,20160712,0.075409383
4463170,13602,20160703,0.040903229
4463170,8012,20160728,0.051942811
2757409,13602,20160723,0.040903229
3818785,11894,20160720,0.044915982
3818785,11894,20160713,0.044915982
3818785,1904,20160713,0.044915982
6330946,3102,20160724,0.07537006
6330946,3102,20160716,0.07537006
2649889,1904,20160704,0.048523999
3178273,2978,20160719,0.017645717
2921761,2601,20160713,0.023495966
6367810,13602,20160710,0.030171839
4272706,2978,20160705,0.023666436
4804162,10438,20160720,0.028809602
3586849,13662,20160711,0.084329922
3720481,2601,20160705,0.016172964
2811169,613,20160720,0.043646204
3602209,3429,20160729,0.07282404
3602209,13602,20160726,0.017349098
3602209,9983,20160727,0.018872814
2821411,13602,20160728,0.055345863
7248454,13602,20160723,0.024790323
6471238,2601,20160728,0.028304957
6744646,13181,20160716,0.104318961
3111715,13602,20160718,0.170466394
6508102,3992,20160726,0.060542286
6787654,13602,20160727,0.017093885
6787654,9983,20160705,0.011241315
6787654,3429,20160705,0.118458061
5755462,8059,20160704,0.062240567
7076422,9227,20160731,0.041367748
3804451,2978,20160702,0.032077132
6317638,807,20160723,0.10646529
5012038,10438,20160703,0.039949089
5012038,13602,20160727,0.048759979
2644771,2978,20160706,0.021507006
6600262,11894,20160721,0.05091486
6600262,1904,20160721,0.05091486
5297734,10418,20160724,0.01880198
2783011,8224,20160731,0.097458656
5838406,2096,20160727,0.282593266
5838406,2096,20160717,0.282593266
5841478,13602,20160715,0.040903229
2921251,8059,20160701,0.08300851
2921251,3429,20160701,0.072081946
2798371,2978,20160714,0.107081223
2798371,13602,20160714,0.017156521
3325219,10438,20160701,0.033773996
3325219,10418,20160702,0.019908019
6391366,8012,20160722,0.037405362
5356102,13602,20160727,0.041554707
2552611,3438,20160723,0.131409423
7210570,11986,20160714,0.085408061
6691402,9983,20160703,0.008640581
2166565,2978,20160713,0.032077132
3479845,10418,20160717,0.008865444
3479845,2978,20160724,0.023666436
5911114,8059,20160717,0.062240567
2449189,2978,20160729,0.034311051
2449189,10438,20160705,0.037174568
2449189,10418,20160702,0.012123623
4378186,12807,20160729,0.199658268
4378186,12807,20160725,0.199658268
4378186,9983,20160724,0.013722982
7262794,2978,20160707,0.032077132
5183050,4811,20160703,0.09787851
5183050,4811,20160704,0.09787851
4925002,13602,20160715,0.017093885
6242890,13602,20160705,0.030123974
2741029,8182,20160706,0.25446781
3005221,1904,20160718,0.048086752
5256778,3780,20160711,0.037023161
5256778,10438,20160730,0.037023161
5256778,2978,20160716,0.032800381
4071205,10418,20160728,0.010872118
4998730,2978,20160724,0.023666436
2109733,1613,20160705,0.011241315
2909989,9983,20160722,0.013722982
3965221,13602,20160723,0.030123974
3707173,9983,20160718,0.010972602
4832842,2978,20160730,0.032077132
3206437,4138,20160728,0.250410109
2967847,5743,20160722,0.129024729
2577703,10438,20160704,0.037574678
3889447,5743,20160703,0.130759975
5458510,13602,20160728,0.046154409
5228110,5235,20160728,0.357095197
6549070,8059,20160703,0.097389466
4453966,13602,20160711,0.041342822
4453966,1499,20160711,0.103389966
4453966,1499,20160705,0.103389966
4453966,1499,20160715,0.103389966
3542311,8059,20160705,0.083167298
4994638,2978,20160724,0.032077132
4994638,10418,20160709,0.016527377
4994638,13602,20160724,0.024750777
2771239,8059,20160731,0.062240567
6082126,3095,20160727,0.182190258
6082126,10418,20160704,0.016527377
2261287,8182,20160705,0.220205063
2935591,11799,20160712,0.014532845
4561486,10418,20160711,0.010612135
4561486,2978,20160720,0.020998113
6933070,13602,20160713,0.024750777
2683687,13602,20160724,0.017093885
4904530,9983,20160710,0.007730577
2720041,11894,20160723,0.048086752
2720041,1904,20160723,0.048086752
2855209,10446,20160717,0.337902872
2855209,9983,20160718,0.013569175
3119401,13602,20160703,0.024885539
4947538,13602,20160726,0.040967498
4947538,9983,20160719,0.013745157
2875177,8059,20160729,0.062240567
2101033,13602,20160710,0.040903229
3412777,8596,20160722,0.021224053
3412777,8596,20160722,0.021224053
4213330,9280,20160708,0.127083401
4766290,13602,20160724,0.040903229
4244050,2601,20160718,0.020180202
2385193,10418,20160702,0.009581591
2385193,13602,20160706,0.054435594
4781650,4277,20160723,0.028922534
4781650,8059,20160712,0.092560577
4781650,3429,20160712,0.071293499
3448105,9983,20160701,0.010972602
3057961,9983,20160702,0.011787043
2409769,13602,20160726,0.040967498
2409769,9983,20160705,0.013745157
3601705,8059,20160703,0.097389466
3214123,10438,20160726,0.028809602
3214123,13602,20160726,0.040967498
6952534,10418,20160724,0.010872118
6430294,13602,20160727,0.025293017
6430294,9983,20160715,0.023998712
3229483,9983,20160716,0.011259524
3760939,8446,20160714,0.351464289
2845483,13602,20160714,0.04864334
4158763,10418,20160711,0.010595426
7272022,10438,20160718,0.028809602
5444182,11799,20160718,0.01221835
4396630,8059,20160726,0.094944617
4396630,13602,20160713,0.030232887
4396630,9983,20160721,0.018697502
4396630,360,20160704,0.292221625
4396630,9288,20160707,0.139358776
3650347,13602,20160724,0.040903229
5468758,13072,20160710,0.155589361
5468758,13072,20160715,0.155589361
5468758,5647,20160708,0.355124737
3654955,13602,20160704,0.040903229
3654955,9983,20160704,0.007730577
6003286,10446,20160708,0.082004115
6528598,13602,20160722,0.051348037
3529003,1271,20160706,0.113555464
4713046,1092,20160726,0.085610395
4716118,1904,20160729,0.069604429
2625835,10438,20160703,0.034581578
3946795,2978,20160711,0.032373756
4498006,3095,20160714,0.114908417
2381611,12509,20160721,0.082335903
2381611,13602,20160729,0.036950595
2266411,2978,20160705,0.032077132
3318571,7660,20160709,0.030085925
2807083,13602,20160729,0.030512995
6687322,9983,20160704,0.013911505
2176813,13602,20160714,0.017093885
6450778,10418,20160719,0.016527377
2576173,6017,20160716,0.059420957
2970925,5178,20160726,0.257889909
2970925,5178,20160723,0.257889909
2970925,5178,20160721,0.257889909
2970925,5178,20160727,0.257889909
2970925,5178,20160720,0.257889909
2970925,5178,20160728,0.257889909
2970925,4727,20160702,0.250166701
2970925,5178,20160711,0.257889909
2970925,4727,20160714,0.250166701
2970925,4727,20160729,0.250166701
2970925,5178,20160725,0.257889909
2970925,5178,20160722,0.257889909
5452378,13602,20160726,0.040903229
2737453,2601,20160717,0.019918544
2737453,13602,20160728,0.041342822
6005338,13602,20160724,0.040967498
6005338,11799,20160716,0.028576446
3791149,8306,20160717,0.060940588
3791149,8306,20160721,0.060940588
5492314,10418,20160705,0.008865444
2748205,3159,20160723,0.194873706
2748205,3159,20160727,0.194873706
5234266,13602,20160714,0.017093885
5234266,2978,20160711,0.017645717
3666733,10901,20160707,0.09135685
3414829,4903,20160711,0.053455286
6834778,13602,20160706,0.040903229
2631469,10489,20160719,0.15858738
4076845,7557,20160730,0.127762518
4076845,825,20160730,0.127762518
2374957,9983,20160711,0.007743144
6079066,10418,20160706,0.016527377
2391853,10523,20160714,0.147310347
6361690,13602,20160726,0.024453137
4828762,13602,20160703,0.055979044
4828762,6673,20160717,0.06769433
2287405,13602,20160714,0.017156521
2287405,2978,20160729,0.030461535
3336493,13602,20160713,0.040967498
3729709,4893,20160724,0.046986348
2305327,10438,20160710,0.034112264
3484975,13602,20160703,0.024750777
5159518,2978,20160731,0.023666436
4024111,1895,20160708,0.049351134
3643183,9565,20160716,0.068575034
4437598,11239,20160730,0.037340499
2228527,10086,20160707,0.180697664
3016495,1298,20160712,0.066919383
3672367,11799,20160714,0.051092104
7359070,11093,20160725,0.088962937
7359070,11093,20160729,0.088962937
2372911,11541,20160730,0.110582451
2372911,13602,20160728,0.040903229
5270110,13602,20160723,0.114914264
2505007,13865,20160701,0.039217188
4079407,13602,20160705,0.04127799
2901295,13602,20160723,0.040903229
2910511,13602,20160723,0.041342822
3435823,8951,20160715,0.076738144
3309871,8,20160723,0.027955303
6111838,13602,20160714,0.017156521
3454255,10418,20160701,0.016527377
2144047,10418,20160705,0.019908019
2408239,9983,20160722,0.008573392
2408239,13602,20160729,0.030171839
6661726,11799,20160725,0.018357531
6661726,13602,20160728,0.125415059
2959153,13602,20160724,0.040903229
2836273,13602,20160726,0.040903229
5674594,2978,20160728,0.032077132
4158769,13602,20160724,0.030123974
4648546,1442,20160706,0.100637908
